title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,doc_id
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf,ojk-surat_edaran_ojk-4_seojk_05_2024-01072024-dasar_penilaian_investasi_dana_pensiun_seojk_4_seojk_05_2024_dasar_penilaian_investasi_dana_pensiun_pdf.pdf,1
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- Abstrak SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/Abstrak%20SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf,ojk-surat_edaran_ojk-4_seojk_05_2024-01072024-dasar_penilaian_investasi_dana_pensiun_abstrak_seojk_4_seojk_05_2024_dasar_penilaian_investasi_dana_pensiun_pdf.pdf,2
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- FAQ SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/FAQ%20SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf,ojk-surat_edaran_ojk-4_seojk_05_2024-01072024-dasar_penilaian_investasi_dana_pensiun_faq_seojk_4_seojk_05_2024_dasar_penilaian_investasi_dana_pensiun_pdf.pdf,3
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis -- SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf,ojk-surat_edaran_ojk-1_seojk_06_2024-01072024-tata_cara_dan_mekanisme_penyampaian_data_transaksi_pendanaan_dan_pelaporan_penyelenggara_layanan_pendanaan_bersama_berbasis_seojk_1_seojk_06_2024_tata_cara_dan_mekanisme_penyampaian_data_transaksi_pen.pdf,4
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Ber -- Abstrak SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/Abstrak%20SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf,ojk-surat_edaran_ojk-1_seojk_06_2024-01072024-tata_cara_dan_mekanisme_penyampaian_data_transaksi_pendanaan_dan_pelaporan_penyelenggara_layanan_pendanaan_bersama_ber_abstrak_seojk_1_seojk_06_2024_tata_cara_dan_mekanisme_penyampaian_data_transaksi_.pdf,5
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasi -- FAQ SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/FAQ%20SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf,ojk-surat_edaran_ojk-1_seojk_06_2024-01072024-tata_cara_dan_mekanisme_penyampaian_data_transaksi_pendanaan_dan_pelaporan_penyelenggara_layanan_pendanaan_bersama_berbasi_faq_seojk_1_seojk_06_2024_tata_cara_dan_mekanisme_penyampaian_data_transaksi_.pdf,6
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf,ojk-peraturan_ojk-8_tahun_2024-05062024-pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_pdf.pdf,7
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- Abstrak POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/Abstrak%20POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf,ojk-peraturan_ojk-8_tahun_2024-05062024-pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_abstrak_pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_pdf.pdf,8
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- FAQ POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/FAQ%20POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf,ojk-peraturan_ojk-8_tahun_2024-05062024-pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_faq_pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_pdf.pdf,9
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf,ojk-surat_edaran_ojk-6_seojk_07_2024-03062024-pendaftaran_penyelenggara_inovasi_teknologi_sektor_keuangan_seojk_6_seojk_07_2024_pendaftaran_penyelenggara_inovasi_teknologi_sektor_keuangan_pdf.pdf,10
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- Abstrak SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/Abstrak%20SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf,ojk-surat_edaran_ojk-6_seojk_07_2024-03062024-pendaftaran_penyelenggara_inovasi_teknologi_sektor_keuangan_abstrak_seojk_6_seojk_07_2024_pendaftaran_penyelenggara_inovasi_teknologi_sektor_keuangan_pdf.pdf,11
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- FAQ SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/FAQ%20SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf,ojk-surat_edaran_ojk-6_seojk_07_2024-03062024-pendaftaran_penyelenggara_inovasi_teknologi_sektor_keuangan_faq_seojk_6_seojk_07_2024_pendaftaran_penyelenggara_inovasi_teknologi_sektor_keuangan_pdf.pdf,12
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,5/SEOJK.07/2024,3 Juni 2024,Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi -- SEOJK 5-SEOJK.07-2024 Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi/SEOJK%205-SEOJK.07-2024%20Mekanisme%20Ruang%20Uji%20Coba%20dan%20Pengembangan%20Inovasi.pdf,ojk-surat_edaran_ojk-5_seojk_07_2024-03062024-mekanisme_ruang_uji_coba_dan_pengembangan_inovasi_seojk_5_seojk_07_2024_mekanisme_ruang_uji_coba_dan_pengembangan_inovasi_pdf.pdf,13
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,5/SEOJK.07/2024,3 Juni 2024,Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi -- Abstrak SEOJK 5-SEOJK.07-2024 Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi/Abstrak%20SEOJK%205-SEOJK.07-2024%20Mekanisme%20Ruang%20Uji%20Coba%20dan%20Pengembangan%20Inovasi.pdf,ojk-surat_edaran_ojk-5_seojk_07_2024-03062024-mekanisme_ruang_uji_coba_dan_pengembangan_inovasi_abstrak_seojk_5_seojk_07_2024_mekanisme_ruang_uji_coba_dan_pengembangan_inovasi_pdf.pdf,14
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,5/SEOJK.07/2024,3 Juni 2024,Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi -- FAQ SEOJK 5-SEOJK.07-2024 Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi/FAQ%20SEOJK%205-SEOJK.07-2024%20Mekanisme%20Ruang%20Uji%20Coba%20dan%20Pengembangan%20Inovasi.pdf,ojk-surat_edaran_ojk-5_seojk_07_2024-03062024-mekanisme_ruang_uji_coba_dan_pengembangan_inovasi_faq_seojk_5_seojk_07_2024_mekanisme_ruang_uji_coba_dan_pengembangan_inovasi_pdf.pdf,15
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,6 Tahun 2024,2 Mei 2024,Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun- -- POJK 6 Tahun 2024 Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024/POJK%206%20Tahun%202024%20Pembiayaan%20Transaksi%20Efek%20Oleh%20Perusahaan%20Efek%20Bagi%20Nasabah%20dan%20Transaksi%20Short%20Selling%20Oleh%20Perusahaan%20Efek.pdf,ojk-peraturan_ojk-6_tahun_2024-02052024-pembiayaan_transaksi_efek_perusahaan_efek_bagi_nasabah_dan_transaksi_short_selling_oleh_perusahaan_efek_pojk_6_tahun__pojk_6_tahun_2024_pembiayaan_transaksi_efek_oleh_perusahaan_efek_bagi_nasabah_dan_transa.pdf,16
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,6 Tahun 2024,2 Mei 2024,Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK- -- Abstrak POJK 6 Tahun 2024 Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024/Abstrak%20POJK%206%20Tahun%202024%20Pembiayaan%20Transaksi%20Efek%20Oleh%20Perusahaan%20Efek%20Bagi%20Nasabah%20dan%20Transaksi%20Short%20Selling%20Oleh%20Perusahaan%20Efek.pdf,ojk-peraturan_ojk-6_tahun_2024-02052024-pembiayaan_transaksi_efek_perusahaan_efek_bagi_nasabah_dan_transaksi_short_selling_oleh_perusahaan_efek_pojk__abstrak_pojk_6_tahun_2024_pembiayaan_transaksi_efek_oleh_perusahaan_efek_bagi_nasabah_dan_transa.pdf,17
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,6 Tahun 2024,2 Mei 2024,Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Ta -- FAQ POJK 6 Tahun 2024 Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024/FAQ%20POJK%206%20Tahun%202024%20Pembiayaan%20Transaksi%20Efek%20Oleh%20Perusahaan%20Efek%20Bagi%20Nasabah%20dan%20Transaksi%20Short%20Selling%20Oleh%20Perusahaan%20Efek.pdf,ojk-peraturan_ojk-6_tahun_2024-02052024-pembiayaan_transaksi_efek_perusahaan_efek_bagi_nasabah_dan_transaksi_short_selling_oleh_perusahaan_efek_pojk_6_ta_faq_pojk_6_tahun_2024_pembiayaan_transaksi_efek_oleh_perusahaan_efek_bagi_nasabah_dan_transa.pdf,18
Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,2/SEOJK.06/2024,1 Mei 2024,Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat -- SEOJK 2-SEOJK.06-2024 Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat/SEOJK%202-SEOJK.06-2024%20Laporan%20Bulanan%20Badan%20Pengelola%20Tabungan%20Perumahan%20Rakyat.pdf,ojk-surat_edaran_ojk-2_seojk_06_2024-01052024-laporan_bulanan_badan_pengelola_tabungan_perumahan_rakyat_seojk_2_seojk_06_2024_laporan_bulanan_badan_pengelola_tabungan_perumahan_rakyat_pdf.pdf,19
Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,2/SEOJK.06/2024,1 Mei 2024,Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat -- Abstrak SEOJK 2-SEOJK.06-2024 Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat/Abstrak%20SEOJK%202-SEOJK.06-2024%20Laporan%20Bulanan%20Badan%20Pengelola%20Tabungan%20Perumahan%20Rakyat.pdf,ojk-surat_edaran_ojk-2_seojk_06_2024-01052024-laporan_bulanan_badan_pengelola_tabungan_perumahan_rakyat_abstrak_seojk_2_seojk_06_2024_laporan_bulanan_badan_pengelola_tabungan_perumahan_rakyat_pdf.pdf,20
Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,2/SEOJK.06/2024,1 Mei 2024,Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat -- FAQ SEOJK 2-SEOJK.06-2024 Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat/FAQ%20SEOJK%202-SEOJK.06-2024%20Laporan%20Bulanan%20Badan%20Pengelola%20Tabungan%20Perumahan%20Rakyat.pdf,ojk-surat_edaran_ojk-2_seojk_06_2024-01052024-laporan_bulanan_badan_pengelola_tabungan_perumahan_rakyat_faq_seojk_2_seojk_06_2024_laporan_bulanan_badan_pengelola_tabungan_perumahan_rakyat_pdf.pdf,21
Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,7 Tahun 2024,30 April 2024,POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah -- POJK 7 Tahun 2024 Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah/POJK%207%20Tahun%202024%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf,ojk-peraturan_ojk-7_tahun_2024-30042024-pojk_7_tahun_2024_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah_pojk_7_tahun_2024_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah_pdf.pdf,22
Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,7 Tahun 2024,30 April 2024,POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah -- Abstrak POJK 7 Tahun 2024 Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah/Abstrak%20POJK%207%20Tahun%202024%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf,ojk-peraturan_ojk-7_tahun_2024-30042024-pojk_7_tahun_2024_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah_abstrak_pojk_7_tahun_2024_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah_pdf.pdf,23
Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,7 Tahun 2024,30 April 2024,POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah -- FAQ POJK 7 Tahun 2024 Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah/FAQ%20POJK%207%20Tahun%202024%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf,ojk-peraturan_ojk-7_tahun_2024-30042024-pojk_7_tahun_2024_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah_faq_pojk_7_tahun_2024_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah_pdf.pdf,24
