title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,doc_id
Surat Edaran Bank Indonesia Nomor 10/33/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-33-dpnp.aspx,NO DATA,NO DATA,NO DATA,10/33/DPNP/2008,15 Oktober 2008,2008 -- faq_se_103308.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/faq_se_103308.pdf,ojk--10_33_dpnp-15002008-2008_faq_se_103308_pdf.pdf,2192
Surat Edaran Bank Indonesia Nomor 10/31/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-31-dpbs.aspx,NO DATA,NO DATA,NO DATA,10/31/DPbS/2008,8 Oktober 2008,Documents -- 167.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/167.pdf,ojk--10_31_dpbs-08002008-documents_167_pdf.pdf,2193
Surat Edaran Bank Indonesia Nomor 10/31/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-31-dpbs.aspx,NO DATA,NO DATA,NO DATA,10/31/DPbS/2008,8 Oktober 2008,2008 -- lamp_se103108.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/lamp_se103108.pdf,ojk--10_31_dpbs-08002008-2008_lamp_se103108_pdf.pdf,2194
Surat Edaran Bank Indonesia Nomor 10/31/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-31-dpbs.aspx,NO DATA,NO DATA,NO DATA,10/31/DPbS/2008,8 Oktober 2008,2008 -- faq_se103108.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/faq_se103108.pdf,ojk--10_31_dpbs-08002008-2008_faq_se103108_pdf.pdf,2195
Surat Edaran Bank Indonesia Nomor 10/26/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-26-dpnp.aspx,NO DATA,NO DATA,NO DATA,10/26/DPNP/2008,15 Juli 2008,Documents -- 172.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/172.pdf,ojk--10_26_dpnp-15002008-documents_172_pdf.pdf,2196
Surat Edaran Bank Indonesia Nomor 10/26/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-26-dpnp.aspx,NO DATA,NO DATA,NO DATA,10/26/DPNP/2008,15 Juli 2008,2008 -- faq_se_102608.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/faq_se_102608.pdf,ojk--10_26_dpnp-15002008-2008_faq_se_102608_pdf.pdf,2197
Surat Edaran Bank Indonesia Nomor 10/19/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-19-dpnp.aspx,NO DATA,NO DATA,NO DATA,10/19/DPNP/2008,2 April 2008,Documents -- 173.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/173.pdf,ojk--10_19_dpnp-02002008-documents_173_pdf.pdf,2198
Surat Edaran Bank Indonesia Nomor 10/19/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-19-dpnp.aspx,NO DATA,NO DATA,NO DATA,10/19/DPNP/2008,2 April 2008,2008 -- faq_se_101908.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/faq_se_101908.pdf,ojk--10_19_dpnp-02002008-2008_faq_se_101908_pdf.pdf,2199
Surat Edaran Bank Indonesia Nomor 10/14/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-14-dpbs.aspx,NO DATA,NO DATA,NO DATA,10/14/DPbS/2008,17 Maret 2008,Documents -- se_101408_1391592711.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/se_101408_1391592711.pdf,ojk--10_14_dpbs-17002008-documents_se_101408_1391592711_pdf.pdf,2200
Surat Edaran Bank Indonesia Nomor 10/14/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-14-dpbs.aspx,NO DATA,NO DATA,NO DATA,10/14/DPbS/2008,17 Maret 2008,2008 -- faq_se_101408.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/faq_se_101408.pdf,ojk--10_14_dpbs-17002008-2008_faq_se_101408_pdf.pdf,2201
