title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url
Surat Edaran Bank Indonesia Nomor 15/43/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-43-dpnp.aspx,,,,15/43/DPNP,21 Oct 2013,2013 -- faq_se_1543_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1543_13.pdf
Surat Edaran Bank Indonesia Nomor 15/41/DKMP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-41-dkmp.aspx,,,,15/41/DKMP,1 Oct 2013,Documents -- 7.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/7.pdf
Surat Edaran Bank Indonesia Nomor 15/41/DKMP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-41-dkmp.aspx,,,,15/41/DKMP,1 Oct 2013,2013 -- lamp_se_154113.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp_se_154113.pdf
Surat Edaran Bank Indonesia Nomor 15/41/DKMP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-41-dkmp.aspx,,,,15/41/DKMP,1 Oct 2013,2013 -- faq_se_154113.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_154113.pdf
Surat Edaran Bank Indonesia Nomor 15/40/DKMP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-40-dkmp.aspx,,,,15/40/DKMP,24 Sep 2013,Documents -- 9.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/9.pdf
Surat Edaran Bank Indonesia Nomor 15/40/DKMP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-40-dkmp.aspx,,,,15/40/DKMP,24 Sep 2013,2013 -- faq_se_154013.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_154013.pdf
Surat Edaran Bank Indonesia Nomor 15/39/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-39-dpnp.aspx,,,,15/39/DPNP,19 Sep 2013,Documents -- 10.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/10.pdf
Surat Edaran Bank Indonesia Nomor 15/39/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-39-dpnp.aspx,,,,15/39/DPNP,19 Sep 2013,2013 -- faq_se_1539_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1539_13.pdf
Surat Edaran Bank Indonesia Nomor 15/35/DPAU,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-35-dpau.aspx,,,,15/35/DPAU,29 Aug 2013,Documents -- 11.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/11.pdf
Surat Edaran Bank Indonesia Nomor 15/35/DPAU,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-35-dpau.aspx,,,,15/35/DPAU,29 Aug 2013,2013 -- lamp_se_1535_13.zip,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp_se_1535_13.zip
